Faster Pussy cat,Silent Night
Jan Wayne,Dein Ist Mein Ganzes Herz
Spiritualized,I Want You
Luton Fyah,Keepin it straight
Niki Haris,Total Love
Leslie Phillips,Your Kindness (Recollection Version)
These Are Powers,Adam's Turtle
Throw That Beat In The Garbagecan!,Mummy Mummy
To Separate The Flesh From The Bones,The Final Extinction
Wayne Newton,Red Roses For A Blue Lady (1989 Digital Remaster)
Sizzla,Sound The Trumpet
Waylon Jennings,Abilene
Adriana Evans,Suddenly
Marc Anthony,Un Mal Sueño
Controlled Dissonance,A Simple Exercise In Acknowledgement
The Flying Burrito Brothers,Take A Walk On The Edge
Eugenius,Wannabee
Fiji,Let's Get It On
Gabriel Batz,Milk
Sweetback,Sensations
The Demon Boyz,Vibes (1990 Remix)
Michael Convertino,James And Sarah
Fond Of Tigers,A Long Way to Temporary
Link,Falling Out
Tokyo Rose,Phonecards and Postcards
Joan Of Arc,Many Times I've Mistaken
The Trammps,Our Thought [Slipping Away]
Naoki Kenji,Destination Earth
Subsky,Strawberry Fields (Original Mix)
Elizabeth Fraser,Moses
Hydrogyn,Vesper's Song
Los Rodriguez,Una Forma De Vida
The Seed,All Dat Matterz
Foo Fighters,DOA
La Mano Ajena,Behumer Khusi
Cantovano and His Orchestra,Historia de un Amor
Urban Species / Imogen Heap,Blanket
Jena Berlin,Aiming for August
Solarstone,Electric Love (ft. Bill McGruddy)
Ensemble PAN,Qui n'a le cuer
Ricochet,The Star Spangled Banner
Hell On Wheels,Oh My God What Have I Done?
Alice DJ,Alice Deejay
Galadriel,Standing In the Rain
Distant Soundz vs. Disko Punks,The Sun Rising
Misconduct,Suffer
The Rambos,One More Valley
Helena Paparizou,Dancing Without Music
Tiga,(Far From) Home
Lee "Scratch" Perry,Economics Crisis
Devendra Banhart,Wake Up_ Little Sparrow
Frank Reyes,Nada De Nada
Dennis Jernigan,O Come_ All Ye Faithful
Blood For Blood,She's Still A Bitch (called Hope) (Album Version)
Strawbs,The Battle
The Paragons,Island in the Sun
The Buzzcocks,Ever Fallen In Love (With Someone You Shouldn't Have)
Dick Jacobs,Tarantula
Spor,Kaori
Mason Jennings,Some Say I'm Not
Remi Nicole,Go Mr Sunshine
Ace Karaoke Productions,Jailhouse Rock (In the style of 'Ben Johns') [No Backing Vocals]
SECRET SPHERE,Dance With The Devil
Two Hours Traffic,Stuck For The Summer
Mary McBride,Weathervane
Uncle Tupelo,Acuff-Rose (Album Version)
Jan Van Bass-10,Behind Blue Eyes
Crowbar,I Have Failed
Sting,Englishman In New York
James Blood Ulmer,Church
Lifer,Not Like You
X,Movin On
Krisiun,War Ritual
Neikka RPM,Feel Your Soul (SEIZE mix)
Luis Alberto Spinetta,Flecha Zen
Somadrone,City Light Driver
Howard Shore,A Mysterious Truth
Insyderz,Oh Lord_ You're Beautiful (LP Version)
Clannad,Banba Oir
Franco De Vita,Que No Muera La Esperanza
Jerry Butler,Foggy Dew - Original
T.I. and Jim Jones,Rebel
Derek Sherinian,The Lone Spaniard
RinneRadio,Hola hola
Quim Barreiros,A Rabada Da Manuela
Shpongle,Schmaltz Herring
Nurse With Wound,Tickling That Great Pudarkus In The Sky 
Devlin,Reality is Sinister
Kwest Tha Madd Lad,Kwest Gets His Rock Off
Ruins,Vrresto
Lewis Black,Xmas Halftime
Stan Van Samang,Shades
Poems For Laila,Poor Boy Willy
Deepface,I Want To Live (Mobin Master Radio Edit)
Our Lady Peace,Under Zenith
Rotting Christ,...Pir Threontai
Princess Superstar,Affirmative Action
Company B,Fascinated (Speedo Mix)
Filarmónica Gil,É Só Por Isso
The Smithereens,Now And Then (24-Bit Digitally Remastered 04)
BarlowGirl,Keep Quiet (LP Version)
Pop Noir,In Like a Lion
Mike Parker,La différence
Philip Jeck,Demolition
K.T. Oslin,Mexico Road
Eminem,My 1st Single
Edge Of Sanity,Crimson Part 4
Charlie Haden Quartet West,Sunday ... At The Hillcrest
Plantlife,Got2get2gether4luv
Simon Harris,AAH Yeah
Countach,Hey Blue
Dennis Ferrer feat. Mia Tuttavilla,Touched the sky
Charlottefield,Again
Jorge Ben,Espero por Voce
Planeta Imaginario,Hoy Hes un Nuevo Dia
Tessie Hill,(You Need To) Know This
Prince & The New Power Generation,Nothing Compares 2 U
Deana Carter,On the Road Again
Bonafide,Sicker than I think
The Grid,Instrument
Sonora Santanera,Estoy Pensando En Tí
Revolution Smile,The Ride Of Los Angeles
Frankie Lee Sims,My Talk Didn't Do No Good
Moss,Moth
Stan Van Samang,Scars  (Montana Version)
Daru & Reggie B.,Good love
Fiona Sit,Shang Di Shi Nan Hai
Fairground Attraction,Allelujah
Marc Broussard,Y'all Ain't Ready (EP Version)
King Kurt,Kneebone Knock (Live)
Johnny Paycheck,Mr. Love Maker
New York Dolls,This Is Ridiculous
2 Player_D.J. Vadim,White Painted Roads
2nd II None Featuring AMG & James DeBarge,Whateva U Want
The 411,China Girl
Rocio Durcal,Marinero
Judy Collins and Eric Andersen,Blue River
Daniel Portman,Welness Park
Ed Bruce,You're the Best Break This Old Heart Ever Had
Piemont,Dockyard (Tony Matt Remix)
Articolo 31,Solo Per Te
Vital Remains,Divine in fire
A Tribe Called Quest,The Night He Got Caught
Decimal Bass,The Hunter
Gösta Ekman,Hyrkuskens berättelse
Rocio Banquells,Cielito Lindo
Spezializtz feat. Samy Deluxe,Unaufhaltsam
Crosby_ Stills_ Nash and Young,Helpless
Cosmic Gate feat. Kyler England,Flatline
Michele Zarrillo,L'Elefante E La Farfalla
Jawbreaker,Ashtray Monument
Marc Et Claude,It´s all for Love (Noemi Remix)
The Ship,The Ship [Reprise]
Pearl Jam,Push Me_ Pull Me
Morgana,Show Me The Way
Kinski,That Helmut Poe Kid's Weird
Burnt By The Sun,You Will Move
Pinstripes,Addicted Love
Jon Wayne,Country Porno
Fania All Stars,Guajira
Darren Hanlon,Fun Park Fugitives
Luke Terry,Using Me Using You
Sneaky Feelings,Better Than Before
Patricia Barber,I Never Went Away
dEUS,Pocket Revolution
Genya Ravan,love is a fire
Magna Carta,No Place to Sleep
Nicola Arigliano,Raggio Di Sole (2004 Digital Remaster)
Laura Nyro,Blackpatch
Gregor Tresher,A Thousand Nights
Redd Kross,Ugly Town
Soulphiction,black woman
Miljoonasade,Auto
Shannon McNally,Tennessee Blues
Jah Wobble & The Invaders of the Heart,Lam Bane Xoc
Lou Reed,Big Sky (LP Version)
Peter Kruder,Before Night Falls
Peter & The Test Tube Babies,Tupperware Party
Sacramentum,Awaken Chaos
Crime Mob,Rock Yo Hips (Album Version)
Renato Russo,Cathedral Song
Red Hot Chili Peppers,Pretty Little Ditty
Rene Froger,Greensleeves (Duet Kerry Norton)
UB40,Nuff Love
Calum Kennedy,She Moved Through The Fair
Georgia Satellites,Railroad Steel (LP Version)
Firefall,Goodbye_ I Love You (LP Version)
Gordon,Let It Be Me (edit)
Chet Baker,Darn that dream
Johnny Foreigner,Criminals
Beyoncé,Work It Out
Night Dreamers,Le chant des partisans
Carlos Ponce,Dejate Querer
Peto Tazok & Karaoke Tundra,Tony dvacek a jackpot
Ernesto,...And Listen Love...
Folk Implosion,Free To Go (Edit)
Shannon Lee,Jiminy
Jeff Samuel,Rout (1999)
Dare,King Of Spades
MARTIRES DEL COMPAS,NO VALE LA PENA
Bros,Black & White
Ronan Keating,Baby Can I Hold You
Cómplices,La Milicia Cruel
Gwyn Ashton,Ball & Chain
C-Rayz Walz,Pink
Tom Waits;Crystal Gayle,Presents
Bow Wow feat. Trey Songz,I Ain't Playing
Slayer,Read Between The Lies
Silverio,XXX
Thierry Hazard,Les Années Pop
Peter Gelderblom,Waiting 4
Helen Baylor,Helen's Testimony (LP Version)
Chris Wall,Cowboy  Nation
Sound Dimension,Less Problem
Die Doraus Und Die Marinas,Fred Vom Jupiter
Doug Kershaw,Take Me Back To Mama
Panpipes,Wonder Of You
Mark Eitzel,Firefly
Souls Of Mischief,Secret Service
Édith Piaf,Les amants
Transmission0,The Return
Econoline Crush,All That You Are (x3) (1997 Digital Remaster)
Sam Champion,Texas Song
NOFX,You Will Lose Faith
Rita Marley,Harambe
Soul Mekanik,Kolor Spektrum 
Jel,Wheels Of Steel
Smoke Dza,Kilo On my Neck
Molemen & Memo,One Shot_ One Kill (Instrumental)
Madlib,No Sitar (outro)
Mohammad Nouri,Gol Chehreh
The Velvelettes,Season's Greetings From Motown
Zora Young,Learned My Lesson
Jah Cure,Vibes Man A Build
Claustrofobia,Morir Contigo
Laurent Wolf,Calinda (Club Remix)
Fletcher Henderson & His Orchestra,Have It Ready
BRiGHT,Full Negative
Raekwon,Outro
Smokie,Norwegian Girl
Los Pericos,Fronteras De America (Demo)
Billy Joe Shaver,The Hottest Thing In Town
Blind Melon,New Life
Jade Warrior,Moontears
Roses Are Red,Running Out Of Time
Charanga Colonial,La Sitiera
Texas Terri Bomb!,Raunch City (DEZ180607908)
Now It's Overhead,Who'S Jon (Album Version)
Helen Reddy,Ain't No Way To Treat A Lady
Astroqueen,I Got to Sleep (I'm Gone)
Don Choa,Ne Te Tue Pas
Patience & Prudence,Gonna Get Along Without Ya Now
Alfredo Zitarrosa,Milonga de ojos dorados
Diablo,ICON OF FLESH
Chaka Khan_ Rufus,I Finally Found You
Widespread Bloodshed,Computer Jugend (Album)
Firefall,Love Ain't What It Seems (LP Version)
24-7 Spyz,Boots
Mark Wonder,Awake ethiopians
Perspects,Too Much Too Fast
Yes,High (Previously Unissued)
Kiss,We Are One
Aborym,I Reject!
Sturm und Drang,Three Nordic Moods
The Dirty Backbeats,Nightwatchman
Monster Mike Welch,Keep On Walking
DJ Dazzle & Octagen,Zero
Vixen,Don'T Want It Anymore
Trusty,Barney
Rose Chronicles,Awaiting Eternity
The Gaslamp Killer,Track Three
Laurie Anderson,Sweaters
Joris Voorn,Blank (Deetron Paradise Dub)
Tristan Garner,Stomp That Shit
Sammy Kershaw,Queen Of My Double Wide Trailer
Nina Simone,Let It Be Me
Dio,Hunter of the heart
Glenn Medeiros,Inside
The Four Aces,I Love You So
Patrizio Buanne,L'Italiano
Paul Davis,Thinking of You
Lawnmower Deth,Feetcleaner
Llwybr Llaethog,Atha Cliath Dub
Marcie Blane,Thank You (Previously Unreleased Demo)
Arthur "Big Boy" Crudup,Mr. So and So
Marvin Hamlisch_ Alan Bergman_ Marilyn Bergman,Trust Me
Thunderbirds Are Now!,-miniature encore-
Dave Clarke,What Was Her Name
Ledernacken,Let Yourself Go
The Replacements,Basement Jam [Rehearsal]
Klashnekoff,Church Intro
Soda Stereo,Día Común- Doble Vida
Helen Humes,He Don't Love Me Anymore
The Red Paintings,Walls (Alternative Ending)
Tracy Chapman,The Rape Of The World (LP Version)
Julee Cruise,In My Other World (Album Version)
Tony Joe White,I've Got A Thing About You Baby (Album Version)
Troublemakers,Naken
The Byrds,Bad Night At The Whiskey
Quasi,Empty Words
Los Llayras,El Bordado De Dios
Timbaland / Katy Perry,If We Ever Meet Again
Ava Inferi,Pulse Of The Earth
Frank Bretschneider,rocket summer
Kenny Barron,Tenderly
Darden Smith,Talk To Me
Harold Melvin;Harold Melvin and The Blue Notes,Where Are All My Friends
Carlos Chaouen (F),Vale la pena
Alan Silvestri,Main Title
Novembre,Flower
Al Rapone,Black Bayou
Mic Geronimo,Survive
Homelife,Along The Verge
The Karl Hendricks Trio,Heart Of Steel
Traffic,Light Up Or Leave Me Alone
Kid Sensation,Flowin'
Equilibrium,Mana
Telstar Ponies,Maps & Starcharts
Srebrna Krila,Zakuni Se Ljubavi
56 Hope Road,State of Mind
The Crystal Method,Jaded
Hawthorne Heights,Niki Fm (Album Version)
Mark Knopfler,Working On It
Cake,Stickshifts And Safetybelts
King Diamond,The Candle (Reissue) (Album Version)
The Destroyer,Giant Station 2nd Mix
Reni,Zimzelena
Beverley Craven,She Doesn't Need Saving
Chemical Brothers Tribute Group,Where We Belong (Evening Shadow Mix)
A Sunny Day In Glasgow,Curse words
Mons Leidvin Takle,Aleine Ved Stranda
Blue States,Bare Bones
Midtown,To Our Savior
Jessi Colter / Waylon Jennings,Too Ra Loo Ra Loo Ral
White Denim,Sitting
Mark Knight & Funkagenda,Man With The Red Face
Spencer & Hill,303
Orquesta America,Flauta Magica
Daryll-Ann,Wild Side Brother
Bescenta,Give Jah the Praise
Dagda,Lament For A Hero
Dino Merlin,Majka ruzi kcer
Miriam Yeung,Fen Li Dao Shang
Miss TK & The Revenge,Concentrate
Gilberto Santa Rosa,Que Sera
Champion Jack Dupree,Sleeping In The Street
The Verlaines,Sunday In Sevastopol (Album Version)
Anonymous 4,Gradual: Benedicta et venerabilis
John Stevens,My Blue Heaven (Album Version)
Wilco,I Got You (At The End Of The Century) (LP Version)
Marcel Kanche,L'Homme
Liza Minnelli,If I Were In Your Shoes (Live At The London Palladium)
Overtone;Yollandi Nortjie,The Crossing
Skream,Deep Concentration
The Dwarves,Astro Boy (Album)
Gilberto Santa Rosa,Déjate Querer
PFR,Great Lengths (Great Lengths Album Version)
Reindeer Section,I'Ve Never Understood
David Toop,A Second Nature
Varios,1ª letra
Grassella Oliphant Quartet,Ain't That Peculiar
Republica,Faster Faster
Leki,Love Me Another Day
Andrew Duke,Carnival
Long John Hunter,So Long
Zombie Nation,Souls At Zero
Zap Mama,The Way You Are (feat. Bilal)
Raymond Lefèvre,Le gendarme en balade: Le gendarme nostalgique
Gloria De Haven,Somebody Loves Me
David Robertson,This Is The Day  ()
Giannis Aggelakas,I Adartes Sto Horio
New Trolls,Intro
Dannii Minogue,Coconut (Original Version)
Crooked Still,Cold Mountains
Boozoo Bajou,Kinder Ohne Strom
Orbit,Made of Wood
Leadbelly,Didn't Ol' John Cross The Water
Ghost Buffalo,Brother
Ángeles del Infierno,Al Otro Lado Del Silencio
Special Needs,Gloucester Road
The Orioles,Crying In The Chapel
Groove Coverage,God Is a Girl
Gotye,Coming Back
Skullflower,Golden Hair
Dickies,Going Homo
Kim English,It Makes A Difference (Kyle Smith Album Version)
Lamont Cranston,As The Years Go Passin' By
The Human League,Gordon's Gin (2003 Digital Remaster)
Viikate,Ei enkeleitä
The Mint Chicks,Double Helix
Furry Lewis,Sweet Papa Moan
Weinland,Hardly Worth Saving
The Steamy Dumplings,Here We Go
None More Black,You Suck! But Your Peanut Butter's OK
The Melodians,Submission
Modestia Aparte,Distinto material
Fear Factory,Burn (Album Version)
Eliane Elias,Paulistana
Rui Veloso,Lançado
CoCo Lee,Di Da Di
Thierry Hazard,Le Nirvana
Kool Savas & Azad,Intro
The Herbaliser,The Turnaround
Jan Wayne,Wherever You Will Go
The Faintest Ideas,Try Too Hard
Frank Black Francis,Into The White
The Wild Swans,Sugar Engines (Demo)
Jesus Jones,Spiral
Hank Thompson And His Brazos Valley Boys,Santa Claus Is Comin' To Town
Legendary Pink Dots,Fate's Faithful Punchline
Yuri,Tiempos Mejores
Slaughter And The Dogs,Scream And Scream Again
T.O.K.,Guardian Angel
Nailbomb,Sum Of Your Achievements [Live] (Album Version)
joe grushecky & the houserockers,Dark and Bloody Ground
Stephen Duffy,A Masterpiece
Dick & Dee Dee,Where Did The Good Times Go (aka Where Did All The Good Times Go) (Album Version)
Dyce,Tomorrow Can Wait (Cascada Extended Mix)
Straight Faced,Brought This On
Clubbazz,My Love Your Love
David Ruffin,You Can Come Right Back To Me
Frederik,Tsingis Khan - Dschingis Khan -
Misery Signals,On Account of an Absence
JK,You Make Me Feel Good 
Vanessa Da Mata,História de uma Gata
Rupaul,The Price Of One (Craig C. RuVisited)
Caterina Valente,Das Hab' Ich Gleich Gewusst (Ya Lo Sabía)
K-OS,The Anthem
The Lapse,The Threat
Ike Yard,Citiesglit [hinsidan rmx]
Bee Gees,The Lord (Album Version)
Mishon,Thinking Of You (Remix)
Echt!,Smutny nebe
Baggi Begovic,Break Of Dawn
Phil Lesh and Friends,Shakedown Street
Renee Rosnes,Goodbye
Niraj Chag Featuring Faheem Mazhar,Allah Hoo
Johnnie Taylor,Stop Doggin' Me
And Then There Were None,Thank The Watchmaker
Edo Maajka,Sank
BoDeans,Fadeaway
Hognose,L.T.D.
B.B. King,It's My Own Fault
Jussi Soro,Backlash
Circus Devils,Letters From A Witch
Jesse Mae Hemphill,Jessie's Love Song (Tell Me You Love Me)
Bonded By Blood,Vengeance
Bill & Gloria Gaither,Loving God Loving Each Other (Freedom Band Album Version)
Archie Roach,So Young
Ira Stein,The Beginnings Of Love (Passion/Romance Version)
Jimmy Witherspoon,Trouble In Mind
Ice,Lost in You
Callenish Circle,Pull The Plug
Strata,Daylight In The City
Rex The Dog,Gecko
Will Young,Leave Right Now
Kinnie Starr,Come
Dead Soul Tribe,Someday
Lucinda Williams,West
Sug,The Way It Must B
Lucille Bogan,Drinking Blues
Siobhan McCarthy / Louise Plowright / Jenny Galloway / Neal Wright,Money_ Money_ Money
Fireball Ministry,Muscle Of Love
Buraka Som Sistema,Restless
Onyx,Throw Ya Gunz
DIVOKEJ BILL,VODA
Cab Calloway And His Orchestra,Crescendo In Drums
Freddie McGregor,The Overseer [Extended] (Album Version)
Boo Hewerdine,Ellis Island Blues
Lushlife,Meridian Sound [Part Two]
Cleopatra,Rhythm International Seven Days A Week
Corinne Bailey Rae,Breathless (Live At Leeds Met)
Johnny Otis,I've Got The Walkin' Blues
Donnie McClurkin,You Are My God And King
Everclear,Learning How To Smile
Eight Frozen Modules,Spiders in my Mind
Four Year Strong,Ironic
7L & Esoteric,Take Note
Colombia Alegre Y Romantica,Boogaloo Pa' Gozar
Os Travessos,Saudade
Don Diablo,Teen Scream Machine
A Flock Of Seagulls,Nightmares
Roy Orbison,Crying
King Curtis with Jack Dupree,I'm Having Fun  (LP Version)
Les Thugs,Little Kiddy (Album)
The Russell Family,Off To California
Craig David,Fill Me In (Full Crew Mix)
Aux 88,Time Portal
Leama & Moor,Fact Of The Matter
The Hacker,Village Of The Damned
Silly Wizard,The Queen Of Argyll
Avery,Scarlet
Roy Orbison,A True Love Good Bye
City of Prague Philharmonic and the Crouch End Festival Chorus,Hamlet - In Pace
String Driven Thing,Waiting For The Sky To Fall (Home Demo '67)
Téléphone,Téléphomme -Llive (Edit 2004)
Justin Sane,61c Days Turned To Nights
Johnny Prez,What U Want (feat. Khelo k40)
Utah Jazz,Back In Time
Bernadette Peters,Time Heals Everything
Black Sabbath,Orchid
Megalon,What A Bum
The Chairmen of the Board,Bravo_ Hooray
Randy Friess,One More Day (Livewater Sunset Beats Dub)
Walter Meego,Through a Keyhole
Absu,The Coming Of War (live bonus)
Gogol Bordello,Alcohol
Salsaloco De Cuba,Brujeria
Jack McDuff,The Shadow Of Your Smile (Remastered Album Version)
Bermuda Triangle,Unlock You
& And Oceans,Catharsis: End Of Organisms: Absolute Purification Of Sins
David Hudson,David Hudson - Laura River
Robert Natus,Getting Time
Santana,Evil Ways
Operator Please,Yes Yes Vindictive
Fredi,Vippaa mulle viitonen
Sunlounger,Spiritual Hideout
The Handsome Family,Giant Ant
Eddie Harris,Dancing Bull
Luigi Alva/Orchestra del Teatro alla Scala_ Milano/Tullio Serafin,L'Elisir d'amore (1993 Digital Remaster)_ ATTO SECONDO: Quanto amore! ed io_ spietata! ... Dunque ... adesso
Allan Holdsworth,At the Edge
The Varukers,We Have The Right
Phil Ochs,When I'm Gone (Live Version)
Albert Ayler,Prophecy
Lloyd Price,It Ain't Easy
The Mamas & The Papas,Do You Wanna Dance
Dan Reed Network,Long Way To Go
The Intruders,Hang On In There
Haste The Day,Eremus
Twelfth Night,This Is War (Rough Mix)
Medeski Martin & Wood,United
Corey Harris,Giddyup
Crisk.,Poker
Himsa,Haunter
Cartel De Santa,Himno A La Jauria
Hawk Nelson,You Have What I Need
Declaime,M.A.D.M.E.N.
Anarbor,The Brightest Green
City,Private joy
Johnny Osbourne,Good Time Rock
Snook,16_ 16_ 16
Caravelli,Can't Get Used To Losing You
Jaime Roos,Sestas de Mar de Fondo
Gerd Dudenhöffer,Hetereosexuell
Manuel Tur,Pastelize
Big Youth,Miss Lou Ring A Ding
Die Fantastischen Vier,Du und sie und wir
Wiz Khalifa,Ink My Whole Body
Love Grocer,Hornsman Dub
Chrisinti,Rainy Day
Vyvienne Long,Late_ Always
Ruff Driverz,Don't Stop
Nether,Lust
Juliet Annerino,Carried Away
Winston Reedy,Love Trail
Babylon Circus,Interlude Barbare
The White Stripes,Wasting My Time (Album Version)
Marc Et Claude,You Own The Sound
Mindi Abair,It Must Be Love
Cocorosie,Undertaker
Wynton Marsalis;Kathleen Battle,Su le sponde del Tebro - Cantata a voce sola con Violini e Tromba/7. Recitativo
Jesse Dee,Slow Down (Rewind)
Shaggy / Nicole Scherzinger,Supa Hypnotic
Hatebreed (int License),Tear It Down (Album Version)
De-Grees,Circle In The Sand
Nastassya Ney,Der Kick
Bob Welch,Moodys Mood For Love
In Fear And Faith,You Already Know You're A Goner
The Hollies,Survival Of The Fittest (1999 Digital Remaster)
Cancer Bats,So Jealous
Pioneers,Don't Stop
Marsha Raven,Catch Me I'm Falling In Love
Ivete Sangalo / Saulo Fernandes,Vale Mais
Triangle,Les Contes Du Vieil Homme
East To West,Still In Love
Loikaemie,Ede aus dem Knast
Swearing At Motorists,Borrowed Sorrow
Claudine Longet,Guess Who I Saw In Paris
5th Element,Blue Rain
Christopher Cross,Talking In My Sleep (Album Version)
A. Skillz & Krafty Kuts,Short Breath
Jihad Muhammad,Oasis (Dub Mix)
The Lone Ranger,Gallows Threat
Krazy Sandi,ARTIFACT
Thyrfing,A Burning Arrow
Stray Cats,Rumble In Brighton
Ellay Khule a.k.a. Rifleman,Khule Gone Koo Koo (Interlude)
50 Cent ft. Young Buck,Caught In The Wind
Joe Stump,Shredding in Shuffle City (live)
Carolyn Arends,There You Are (live)
The Sleeper,Funky Junky
Rebekah,Toad In A Hole (Original Mix)
Destruments,Tjader (Intro)
Count Basie,Basie Boogie
Chris Kenner,Go Thru Life (LP Version)
Alcazar,Funky Feet
House of Freaks,A Whole Lot of Nothing Going On
The Vindictives,Heartbeat (It's A Love Boat)
Annie Lennox;Steven Lipson,Don't Let It Bring You Down
Mays,Represent
Carrie Newcomer,Something Worth Fighting For
